ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
LU0871639380,03/12/2019,USD,0.00000
LU0743604679,03/12/2019,USD,0.04560
LU0842062969,03/12/2019,USD,0.00000
GB0009383836,29/02/2020,USD,0
LU0836515717,31/03/2020,USD,4.98180
LU0836512961,31/03/2020,USD,4.47970
LU0938202826,31/03/2020,USD,5.28130
LU0960942059,31/03/2020,USD,3.12750
LU0836514587,31/03/2020,USD,2.91090
LU0960941754,31/03/2020,USD,0.05000
LU0938202743,31/03/2020,USD,3.65230
LU0826454976,31/03/2020,EUR,1.24680
LU0839971503,31/03/2020,USD,1.15910
LU2087589268,31/03/2020,USD,0.00000
LU0826455437,31/03/2020,USD,6.91280
LU1333800438,31/03/2020,USD,0.52960
GB0009383836,22/05/2020,USD,0.07980
LU0784324112,31/05/2020,USD,0.00000
LU0725892383,31/05/2020,USD,0.00000
LU0725892466,31/05/2020,USD,0.00000
LU0725887540,31/05/2020,USD,0.00000
LU1246651910,31/05/2020,USD,0.00000
LU1653088168,31/05/2020,USD,0.00000
LU0678985754,31/05/2020,USD,0.00000
LU1513020419,31/05/2020,USD,0.00000
LU1508158356,31/05/2020,USD,0.00000
LU1586024074,31/05/2020,USD,0.00000
LU1508158273,31/05/2020,USD,0.00000
LU2079411406,31/05/2020,EUR,0.00000
LU0995223301,31/05/2020,USD,0.00000
LU0965649881,31/05/2020,USD,0.00000
LU1033658136,31/05/2020,USD,0.00000
LU1033658722,31/05/2020,USD,0.00000
LU1061270184,31/05/2020,USD,0.00000
LU0852336535,31/05/2020,USD,0.00000
LU0852332542,31/05/2020,USD,0.00000
LU1321847714,31/05/2020,USD,0.17860
LU1321847987,31/05/2020,USD,0.13950
LU1289970243,31/05/2020,USD,1.33360
LU1896777239,31/05/2020,USD,0.20330
LU1093538335,31/05/2020,USD,0.75444
LU1308276671,31/05/2020,USD,0.00000
LU1118028742,31/05/2020,USD,6.26135
LU1567862849,31/05/2020,USD,4.76754
LU1567863144,31/05/2020,USD,3.95702
LU1572169453,31/05/2020,USD,457.64400
LU1072457747,31/05/2020,USD,0.10737
LU0997362164,31/05/2020,USD,0.17409
LU0949128572,31/05/2020,USD,6.47952
LU0949128226,31/05/2020,USD,6.69602
LU1800013283,31/05/2020,USD,0.00000
LU1814255391,31/05/2020,USD,0.00000
LU1706560163,31/05/2020,USD,6.27860
LU1706559827,31/05/2020,USD,20.25200
LU1435395808,31/05/2020,EUR,0.00000
LU0802637750,31/05/2020,EUR,0.00000
LU0776931064,31/05/2020,EUR,0.00000
LU0526376511,31/05/2020,EUR,0.00000
LU0526377089,31/05/2020,EUR,3.50300
LU0525202312,31/05/2020,EUR,0.00000
LU0313923905,31/05/2020,EUR,0.00000
LU0827973438,31/05/2020,EUR,0.00000
LU1893597481,31/05/2020,EUR,0.00000
LU1893597721,31/05/2020,EUR,0.00000
LU1893597564,31/05/2020,EUR,58.17500
LU1893598026,31/05/2020,EUR,0.00000
LU1893597648,31/05/2020,EUR,1.19240
LU1193909402,31/05/2020,EUR,0.10840
LU0438336264,31/05/2020,EUR,0.00000
LU1200840038,31/05/2020,EUR,0.00000
LU0438336421,31/05/2020,EUR,0.36200
LU1117534401,31/05/2020,EUR,0.49790
LU1117534666,31/05/2020,EUR,0.00000
LU1908248021,31/05/2020,USD,0.00000
LU1376384878,31/05/2020,USD,0.00000
LU1373035077,31/05/2020,USD,0.00000
LU1373034930,31/05/2020,USD,0.00000
LU1251621188,31/05/2020,USD,0.00000
LU1288049866,31/05/2020,USD,0.49100
LU1288049940,31/05/2020,USD,0.43050
LU1258025839,31/05/2020,USD,0.34990
LU1382784764,31/05/2020,USD,0.00000
LU1603214153,31/05/2020,USD,0.03900
LU1603215044,31/05/2020,USD,0.00000
LU1603214401,31/05/2020,USD,0.00000
LU1251621345,31/05/2020,USD,0.00000
LU1817852764,31/05/2020,USD,0.00000
LU1069250972,31/05/2020,USD,0.00000
LU1103452089,31/05/2020,USD,0.00000
LU1669036458,31/05/2020,USD,2.92820
LU1721361928,31/05/2020,USD,3.39880
LU1669037183,31/05/2020,USD,4.90010
LU2070343558,31/05/2020,USD,0.00000
LU2099546561,31/05/2020,USD,0.00000
LU2070343715,31/05/2020,USD,0.00000
LU2070343632,31/05/2020,USD,0.00000
LU1681057110,31/05/2020,USD,4.19910
LU1834329317,31/05/2020,USD,1.63190
LU1933810498,31/05/2020,USD,33.60670
LU1933810654,31/05/2020,USD,1.39820
LU1681056906,31/05/2020,USD,6.61200
LU1681057037,31/05/2020,USD,0.89640
LU1733247586,31/05/2020,EUR,0.90890
LU1191062733,31/05/2020,EUR,2.22890
LU1191062659,31/05/2020,EUR,0.52150
LU1241524617,31/05/2020,EUR,1.20610
LU1241524963,31/05/2020,EUR,0.00000
LU1304596254,31/05/2020,EUR,1.94000
LU1191062576,31/05/2020,EUR,0.00000
LU1191063897,31/05/2020,EUR,1.91590
LU1191063624,31/05/2020,EUR,2.01610
LU1241525184,31/05/2020,EUR,1.16480
