ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
IE00BDVJF675,31/12/2018,USD,0.00020
IE00BDT8V027,31/12/2018,EUR,0.00000
IE00BDT8TZ34,31/12/2018,CHF,0.67610
IE00BG482169,31/12/2018,USD,0.19030
IE00BF51K025,31/12/2018,USD,0.00120
IE00BF51K249,31/12/2018,EUR,0.00000
IE00BF51K132,31/12/2018,USD,0.01040
IE00BF51JZ00,31/12/2018,EUR,0.26110
IE00BDRTCP90,31/12/2018,EUR,0.00000
IE00BDRTCQ08,31/12/2018,USD,0.00220
IE00BFZ11324,31/12/2018,EUR,0.00590
IE00BFZPF322,31/12/2018,USD,0.61130
IE00BFZPF439,31/12/2018,EUR,0.04880
IE00BYZLWM19,31/12/2018,GBP,0.15990
IE00BG0TQB18,31/12/2018,USD,0.04980
IE00BG21M733,31/12/2018,USD,0.10190
IE00BHJYDT11,31/12/2018,USD,0.14340
IE00BDVJF675,31/12/2019,USD,0.25640
IE00BDT8V027,31/12/2019,EUR,0.00000
IE00BDT8TZ34,31/12/2019,CHF,0.42180
IE00BG482169,31/12/2019,USD,2.21320
IE00BF51K025,31/12/2019,USD,0.00000
IE00BJ06C481,31/12/2019,GBP,2.25500
IE00BF51K249,31/12/2019,EUR,0.00010
IE00BF51K132,31/12/2019,USD,0.00000
IE00BF51JZ00,31/12/2019,EUR,0.00000
IE00BDRTCP90,31/12/2019,EUR,0.00270
IE00BDRTCQ08,31/12/2019,USD,0.00000
IE00BFZ11324,31/12/2019,EUR,0.11650
IE00BFZPF322,31/12/2019,USD,1.78890
IE00BFZPF439,31/12/2019,EUR,0.06060
IE00BYZLWM19,31/12/2019,GBP,0.22380
IE00BG0TQB18,31/12/2019,USD,0.00000
IE00BG21M733,31/12/2019,USD,0.48360
IE00BHJYDT11,31/12/2019,USD,1.98400
IE00BF2GFM70,31/12/2019,GBP,0.07400
IE00BF2GFH28,31/12/2019,USD,0.00220
IE00BF2FNL98,31/12/2019,GBP,0.05270
IE00BF2FNG46,31/12/2019,USD,0.00200
IE00BF2FNQ44,31/12/2019,USD,0.00000
IE00BF2GC043,31/12/2019,GBP,0.09420
IE00BF2FN646,31/12/2019,USD,0.00000
IE00BF2FN869,31/12/2019,EUR,0.00000
IE00BF2FNB90,31/12/2019,GBP,0.12560
IE00BG0NY640,31/12/2019,EUR,0.00040
IE00BHJYDV33,31/12/2019,EUR,0.83730
IE00BGBN6P67,31/12/2019,USD,0.41080
IE00BG0TQ445,31/12/2019,GBP,0.00000
IE00BG0TQC25,31/12/2019,GBP,0.00920
IE00BG0TQD32,31/12/2019,GBP,0.21720
IE00BJQRDK83,31/12/2019,USD,0.34150
IE00BJQRDL90,31/12/2019,EUR,0.28100
IE00BJQRDM08,31/12/2019,USD,0.33110
IE00BJQRDN15,31/12/2019,USD,0.26940
