ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
IE00BCLWRB83,28/02/2018,USD,0.88210
IE0032895942,28/02/2018,USD,0.00000
IE00BYXYYJ35,28/02/2018,USD,0.14800
IE00BF3N6Y61,28/02/2018,USD,0.00410
IE00B14X4S71,28/02/2018,USD,0.00000
IE00BYXPSP02,28/02/2018,USD,0.05360
IE0032523478,28/02/2018,EUR,0.00440
IE00B14X4Q57,28/02/2018,EUR,0.00000
IE00B66F4759,28/02/2018,EUR,0.00000
IE00BF3N7094,28/02/2018,EUR,0.07730
IE00BF3NC260,28/02/2018,EUR,0.04150
IE00B0M62X26,28/02/2018,EUR,2.01370
IE00B5L65R35,28/02/2018,GBP,0.02890
IE00B0M62Y33,28/02/2018,EUR,0.00000
IE00B14X4T88,28/02/2018,USD,0.00100
IE00B02KXK85,28/02/2018,USD,0.00000
IE00B00FV011,28/02/2018,GBP,0.00000
IE0005042456,28/02/2018,GBP,0.00000
IE00BYZ28W67,28/02/2018,GBP,0.04290
IE00BKM4GZ66,28/02/2018,USD,0.46870
IE00B0M62S72,28/02/2018,EUR,0.00000
IE00B02KXL92,28/02/2018,EUR,0.00000
IE00B02KXM00,28/02/2018,EUR,0.00120
IE00B0M62V02,28/02/2018,EUR,0.00000
IE00B0M62T89,28/02/2018,EUR,0.00000
IE00B0M63284,28/02/2018,EUR,0.01860
IE00B00FV128,28/02/2018,GBP,0.00020
IE0004855221,28/02/2018,EUR,0.00960
IE0030974079,28/02/2018,EUR,0.00000
IE00B7J7TB45,28/02/2018,USD,0.02450
IE00BF3N6Z78,28/02/2018,USD,0.06970
IE00B74DQ490,28/02/2018,USD,0.76080
IE00BYWZ0440,28/02/2018,USD,0.08360
IE00B0M63730,28/02/2018,USD,0.00080
IE00B0M63516,28/02/2018,USD,0.00510
IE00B0M63953,28/02/2018,USD,0.00000
IE00B0M63177,28/02/2018,USD,0.00000
IE00BVDPJP67,28/02/2018,GBP,0.00000
IE00B14X4N27,28/02/2018,EUR,0.00220
