ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
IE00B3VVMM84,30/06/2018,USD,0.0000
IE00B810Q511,30/06/2018,GBP,0.0000
IE00BF4R5F15,30/06/2018,EUR,0.0000
IE00B42WWV65,30/06/2018,GBP,0.0006
IE00BKX55Q28,30/06/2018,GBP,0.0011
IE00BZ163H91,30/06/2018,EUR,0.0041
IE00BZ163G84,30/06/2018,EUR,0.0076
IE00B9F5YL18,30/06/2018,USD,0.0098
IE00B3XXRP09,30/06/2018,USD,0.0100
IE00BZ163L38,30/06/2018,USD,0.0121
IE00B95PGT31,30/06/2018,USD,0.0134
IE00BZ163M45,30/06/2018,USD,0.0200
IE00BKX55S42,30/06/2018,EUR,0.0203
IE00BKX55R35,30/06/2018,USD,0.0243
IE00B945VV12,30/06/2018,EUR,0.0253
IE00BZ163K21,30/06/2018,USD,0.0272
IE00BKX55T58,30/06/2018,USD,0.0304
IE00B3RBWM25,30/06/2018,USD,0.0442
IE00B8GKDB10,30/06/2018,USD,0.0479
IE00BDD48R20,30/06/2018,USD,0.0915
IE00BYYR0935,30/06/2018,USD,0.3600
IE00BYYR0D71,30/06/2018,USD,0.5285
IE00BYYR0B57,30/06/2018,USD,0.7414
IE00BYYR0C64,30/06/2018,USD,0.7464
IE00BGYWCB81,30/06/2019,USD,0.8479
IE00BYYR0C64,30/06/2019,USD,0.8243
IE00BYYR0B57,30/06/2019,USD,0.8191
IE00BYYR0D71,30/06/2019,USD,0.6117
IE00BGYWFK87,30/06/2019,USD,0.5963
IE00BGYWSV06,30/06/2019,USD,0.5655
IE00BYYR0935,30/06/2019,USD,0.4670
IE00BGYWFS63,30/06/2019,USD,0.2337
IE00BFMXYP42,30/06/2019,GBP,0.2076
IE00BGYWT403,30/06/2019,EUR,0.1632
IE00BFMXVQ44,30/06/2019,GBP,0.1503
IE00BH04GW44,30/06/2019,GBP,0.1354
IE00BFMXXD54,30/06/2019,USD,0.1126
IE00BH04GL39,30/06/2019,EUR,0.0570
IE00B3VVMM84,30/06/2019,USD,0.0256
IE00BG47KG48,30/06/2019,GBP,0.0182
IE00B9F5YL18,30/06/2019,USD,0.0179
IE00BZ163L38,30/06/2019,USD,0.0160
IE00BKX55T58,30/06/2019,USD,0.0158
IE00BDD48R20,30/06/2019,USD,0.0118
IE00BG47KJ78,30/06/2019,USD,0.0092
IE00B3RBWM25,30/06/2019,USD,0.0091
IE00BG47K971,30/06/2019,GBP,0.0090
IE00BG47KH54,30/06/2019,EUR,0.0079
IE00BG47KB92,30/06/2019,EUR,0.0079
IE00BKX55R35,30/06/2019,USD,0.0078
IE00BKX55Q28,30/06/2019,GBP,0.0059
IE00B8GKDB10,30/06/2019,USD,0.0057
IE00BKX55S42,30/06/2019,EUR,0.0044
IE00BZ163G84,30/06/2019,EUR,0.0025
IE00B95PGT31,30/06/2019,USD,0.0024
IE00BZ163H91,30/06/2019,EUR,0.0019
IE00BZ163M45,30/06/2019,USD,0.0007
IE00BF4R5F15,30/06/2019,EUR,0.0006
