ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
LU0274208692,31/12/2024,USD,2.12670
LU2263803533,31/12/2024,USD,0.15320
LU0659579733,31/12/2024,EUR,0.80940
LU0274209237,31/12/2024,USD,2.74140
LU1184092051,31/12/2024,USD,0.47040
LU0274209740,31/12/2024,USD,1.25440
LU2581375230,31/12/2024,USD,0.37600
LU0927735406,31/12/2024,USD,0.50440
LU0659580079,31/12/2024,EUR,0.53150
LU1215827756,31/12/2024,CHF,0.41110
LU0274210672,31/12/2024,USD,1.50120
LU2581375073,31/12/2024,USD,0.02060
LU0380865021,31/12/2024,EUR,2.41990
LU0274211480,31/12/2024,EUR,4.29940
LU0943504760,31/12/2024,CHF,2.14540
LU0292097234,31/12/2024,GBP,0.07080
LU0292097747,31/12/2024,GBP,0.02840
LU0292107645,31/12/2024,USD,1.37370
LU2675291913,31/12/2024,USD,0.07930
LU0292107991,31/12/2024,USD,1.12460
LU2296661775,31/12/2024,USD,0.10020
LU0292108619,31/12/2024,USD,1.84830
LU0292109005,31/12/2024,USD,0.98740
LU0292109187,31/12/2024,USD,0.96020
LU2928641757,31/12/2024,USD,0.00950
LU0292109344,31/12/2024,USD,3.24230
LU0292109690,31/12/2024,USD,0.32080
LU0292100046,31/12/2024,USD,0.64440
LU0292109856,31/12/2024,USD,0.95540
LU0292095535,31/12/2024,EUR,0.06720
LU0292096186,31/12/2024,EUR,0.62870
LU0292100806,31/12/2024,EUR,3.35750
LU0292103222,31/12/2024,EUR,3.30320
LU0292103651,31/12/2024,EUR,2.38980
LU0292104030,31/12/2024,EUR,2.28780
LU0292104469,31/12/2024,EUR,1.38890
LU0292104899,31/12/2024,EUR,5.44100
LU0292105359,31/12/2024,EUR,3.11870
LU0292106084,31/12/2024,EUR,3.26030
LU0292106241,31/12/2024,EUR,0.39510
LU0292106753,31/12/2024,EUR,0.20760
LU0322248146,31/12/2024,CHF,0.07950
LU0328473581,31/12/2024,GBP,0.11920
LU0322251520,31/12/2024,USD,0.06640
LU0397221945,31/12/2024,EUR,5.87290
LU0322252171,31/12/2024,USD,0.95220
LU0322252338,31/12/2024,USD,2.41770
LU0322252924,31/12/2024,USD,0.11310
LU0322250712,31/12/2024,EUR,3.86310
LU0328475792,31/12/2024,EUR,3.49130
LU2581375156,31/12/2024,EUR,0.97750
LU1772333404,31/12/2024,EUR,3.33450
LU0322253229,31/12/2024,USD,2.32890
LU0322253732,31/12/2024,USD,4.90460
LU0322253906,31/12/2024,USD,1.72100
LU0328476410,31/12/2024,USD,0.06620
LU0411078552,31/12/2024,USD,0.83720
LU0411075020,31/12/2024,EUR,0.03120
LU0411075376,31/12/2024,EUR,2.96940
LU0411078636,31/12/2024,USD,0.00450
LU0779800910,31/12/2024,USD,0.50530
LU0476289540,31/12/2024,USD,1.78880
LU0476289623,31/12/2024,USD,0.32430
LU0476289466,31/12/2024,USD,0.20230
LU0486851024,31/12/2024,EUR,1.36990
LU0490618542,31/12/2024,USD,0.64830
LU2196472984,31/12/2024,EUR,0.04830
LU2196473016,31/12/2024,GBP,0.06430
LU0489337690,31/12/2024,EUR,0.65660
LU0514695690,31/12/2024,USD,0.30090
LU0514695187,31/12/2024,USD,0.00330
LU0514694370,31/12/2024,USD,0.37050
LU0514694701,31/12/2024,USD,0.48120
LU0592215403,31/12/2024,USD,0.02460
LU0592217524,31/12/2024,USD,0.16090
LU0592216393,31/12/2024,EUR,1.15840
LU0994505336,31/12/2024,EUR,0.14600
LU0659579147,31/12/2024,USD,0.06390
LU0659578842,31/12/2024,USD,0.06040
LU0659579063,31/12/2024,EUR,3.13170
LU1127514245,31/12/2024,USD,2.09700
LU1127516455,31/12/2024,GBP,0.93330
LU1215828218,31/12/2024,CHF,0.58390
LU1221100792,31/12/2024,USD,0.74100
LU1221102491,31/12/2024,CHF,0.52170
LU0838780707,31/12/2024,GBP,0.44990
LU2196470426,31/12/2024,JPY,181.02090
LU1875395870,31/12/2024,EUR,0.02070
LU0875160326,31/12/2024,USD,0.07670
LU1310477036,31/12/2024,USD,0.28220
LU2376679564,31/12/2024,USD,0.22980
LU2469465822,31/12/2024,USD,0.78220
LU2788421340,31/12/2024,USD,1.00590
LU2859392081,31/12/2024,USD,0.01120
LU2859297330,31/12/2024,USD,0.01330
IE00B3Y8D011,31/12/2024,EUR,0.01290
IE00B9MRHC27,31/12/2024,EUR,0.14120
IE00B9MRJJ36,31/12/2024,EUR,0.08230
IE00BH361H73,31/12/2024,USD,1.16880
IE00BGHQ0G80,31/12/2024,EUR,0.50170
IE000VXC51U5,31/12/2024,EUR,0.44670
IE000WGF1X01,31/12/2024,USD,0.56640
IE00BJ0KDR00,31/12/2024,USD,1.74600
IE00BG04M077,31/12/2024,EUR,1.22090
IE00BG04LZ52,31/12/2024,CHF,1.41680
IE00BLNMYC90,31/12/2024,USD,1.33460
IE000N5GJDD7,31/12/2024,GBP,0.01140
IE0002EI5AG0,31/12/2024,EUR,0.13690
IE000CXLGK86,31/12/2024,USD,0.49390
IE00BJ0KDQ92,31/12/2024,USD,1.61930
IE00BK1PV551,31/12/2024,USD,0.12710
IE000ONQ3X90,31/12/2024,EUR,0.15580
IE00BZ1BS790,31/12/2024,GBP,0.06920
IE0009KLWT21,31/12/2024,CHF,0.14300
IE00BP8FKB21,31/12/2024,EUR,1.42120
IE00BL25JN58,31/12/2024,USD,0.79430
IE00BL25JP72,31/12/2024,USD,0.65990
IE00BL25JL35,31/12/2024,USD,0.78960
IE00BL25JM42,31/12/2024,USD,1.36720
IE00BQXKVQ19,31/12/2024,USD,0.56430
IE00BM67HJ62,31/12/2024,GBP,1.98840
IE00BM67HW99,31/12/2024,EUR,0.80840
IE00BGJWX091,31/12/2024,EUR,0.07800
IE00BM67HX07,31/12/2024,GBP,1.01070
IE00B8KMSQ34,31/12/2024,CHF,0.53880
IE000Z9SJA06,31/12/2024,USD,0.11840
IE00BJZ2DD79,31/12/2024,USD,3.21870
IE00BJZ2DC62,31/12/2024,USD,0.47700
IE000TSML5I8,31/12/2024,EUR,0.10550
IE00BPVLQD13,31/12/2024,JPY,3.67150
IE00BRB36B93,31/12/2024,EUR,0.44090
IE00BTGD1B38,31/12/2024,USD,0.53730
IE00BFMKQC67,31/12/2024,USD,2.63570
IE00BZ036H21,31/12/2024,USD,0.01660
IE00BG04LY46,31/12/2024,GBP,0.13490
IE00BMCFJ320,31/12/2024,MXN,269.58650
IE00BM67HL84,31/12/2024,USD,0.70490
IE00BM67HK77,31/12/2024,USD,0.66440
IE00BM67HN09,31/12/2024,USD,1.01350
IE00BM67HM91,31/12/2024,USD,1.62240
IE00BM67HT60,31/12/2024,USD,0.29650
IE00BM67HP23,31/12/2024,USD,0.47510
IE00BM67HV82,31/12/2024,USD,0.84600
IE00BM67HR47,31/12/2024,USD,0.22910
IE00BM67HS53,31/12/2024,USD,1.17990
IE00BM67HQ30,31/12/2024,USD,0.97060
IE0004KLW911,31/12/2024,USD,0.37840
IE000UX5WPU4,31/12/2024,EUR,0.29170
IE00BYPHT736,31/12/2024,EUR,0.05210
IE00BTJRMP35,31/12/2024,USD,1.31120
IE00BGQYRQ28,31/12/2024,USD,0.39890
IE00BCHWNT26,31/12/2024,USD,0.05300
IE00BCHWNW54,31/12/2024,USD,0.00970
IE00BDR5HN05,31/12/2024,USD,0.67930
IE00BDR5HM97,31/12/2024,USD,0.12810
IE00BG04LT92,31/12/2024,EUR,1.13210
IE00BG04LV15,31/12/2024,GBP,0.12860
IE00BF8J5974,31/12/2024,USD,0.25240
IE00BFMKQ930,31/12/2024,EUR,0.89530
IE00BG36TC12,31/12/2024,USD,0.31560
IE00BZ02LR44,31/12/2024,USD,0.47940
IE000E4BATC9,31/12/2024,USD,0.00430
IE00BMY76136,31/12/2024,EUR,0.79380
IE00BFMNHK08,31/12/2024,EUR,0.83530
IE0004ZJGWT9,31/12/2024,EUR,0.21050
