month,currency,rate
2018-02-28,CAD,1.7562
2018-02-28,DKK,8.5527
2018-02-28,HKD,11.11
2018-02-28,INR,90.56
2018-02-28,ILS,4.8541
2018-02-28,JPY,155.28
2018-02-28,MYR,5.5647
2018-02-28,MXN,26.31
2018-02-28,NZD,1.9163
2018-02-28,NOK,11.03
2018-02-28,PHP,72.49
2018-02-28,SAR,5.3337
2018-02-28,SGD,1.8616
2018-02-28,ZAR,16.94
2018-02-28,KRW,1522.06
2018-02-28,SEK,11.28
2018-02-28,CHF,1.3452
2018-02-28,TWD,41.58
2018-02-28,THB,45
2018-02-28,USD,1.4223
2018-02-28,EUR,1.1487
2018-02-28,AED,5.2242
2018-02-28,ALL,153.42
2018-02-28,DZD,161.66
2018-02-28,AOA,288.06
2018-02-28,XCD,3.8402
2018-02-28,AMD,683.79
2018-02-28,AWG,2.5459
2018-02-28,AZN,2.403
2018-02-28,BSD,1.4223
2018-02-28,BHD,0.5362
2018-02-28,BDT,118.44
2018-02-28,BBD,2.8446
2018-02-28,BYN,2.7580
2018-02-28,BZD,2.8428
2018-02-28,XOF,753.48
2018-02-28,BMD,1.4223
2018-02-28,BTN,90.56
2018-02-28,BOB,9.828
2018-02-28,BAM,2.2466
2018-02-28,BWP,13.64
2018-02-28,BND,1.8616
2018-02-28,BGN,2.2467
2018-02-28,BIF,2501.5
2018-02-28,KHR,5711.92
2018-02-28,XAF,753.48
2018-02-28,CVE,127.22
2018-02-28,KYD,1.1663
2018-02-28,CLP,857.21
2018-02-28,CNY,9.0852
2018-02-28,COP,4002.43
2018-02-28,KMF,565.11
2018-02-28,CDF,2269.98
2018-02-28,CRC,809.46
2018-02-28,HRK,8.5372
2018-02-28,CUP,1.4223
2018-02-28,CZK,29.14
2018-02-28,DJF,252.76
2018-02-28,DOP,69.12
2018-02-28,ECS,1.4223
2018-02-28,EGP,25.16
2018-02-28,SVC,12.45
2018-02-28,ERN,21.33
2018-02-28,ETB,38.9
2018-02-28,FJD,2.8475
2018-02-28,XPF,137.07
2018-02-28,GMD,68.09
2018-02-28,GEL,3.5771
2018-02-28,GHS,6.464
2018-02-28,GTQ,10.45
2018-02-28,GNF,12839.04
2018-02-28,GYD,295.65
2018-02-28,HTG,91.31
2018-02-28,HNL,33.57
2018-02-28,HUF,355.02
2018-02-28,ISK,144.61
2018-02-28,IDR,18936.41
2018-02-28,IQD,1683.28
2018-02-28,JMD,176.77
2018-02-28,JOD,1.0084
2018-02-28,KZT,456.39
2018-02-28,KES,145.5
2018-02-28,KWD,0.4267
2018-02-28,KGS,97.7
2018-02-28,LAK,11805.03
2018-02-28,LBP,2150.78
2018-02-28,LSL,16.94
2018-02-28,LRD,1.4223
2018-02-28,LYD,1.9059
2018-02-28,MOP,11.45
2018-02-28,MKD,70.73
2018-02-28,MGA,4613.91
2018-02-28,MWK,1032.37
2018-02-28,MVR,21.91
2018-02-28,MRO,504.2
2018-02-28,MUR,46.43
2018-02-28,MDL,23.96
2018-02-28,MNT,3440.52
2018-02-28,MAD,13.03
2018-02-28,MZN,84.75
2018-02-28,MMK,1905.65
2018-02-28,NPR,144.9
2018-02-28,NIO,43.93
2018-02-28,NGN,512.73
2018-02-28,OMR,0.5476
2018-02-28,PKR,157.17
2018-02-28,PAB,1.4223
2018-02-28,PGK,4.5982
2018-02-28,PYG,7967.2
2018-02-28,PEN,4.5673
2018-02-28,PLN,4.7638
2018-02-28,QAR,5.1786
2018-02-28,RON,5.3591
2018-02-28,RUB,80
2018-02-28,RWF,1212.66
2018-02-28,STD,27645.24
2018-02-28,RSD,136.38
2018-02-28,SCR,19.66
2018-02-28,SLL,10933.88
2018-02-28,SBD,11.04
2018-02-28,SOS,829.19
2018-02-28,LKR,218.67
2018-02-28,SDG,9.9831
2018-02-28,SRD,10.62
2018-02-28,SZL,16.94
2018-02-28,TZS,3201.58
2018-02-28,TOP,1.7621
2018-02-28,TTD,9.6042
2018-02-28,TND,3.4071
2018-02-28,TRY,5.3111
2018-02-28,TMT,4.978
2018-02-28,UGX,5175.76
2018-02-28,UAH,40.99
2018-02-28,UYU,40.45
2018-02-28,UZS,11611.5
2018-02-28,VUV,151.62
2018-02-28,VEF,14.21
2018-02-28,VND,32300.99
2018-02-28,WST,3.5092
2018-02-28,YER,355.74
2018-02-28,ZMW,13.85
2018-02-28,ZWL,514.72
2018-03-31,ARS,27.79
2018-03-31,AUD,1.782
2018-03-31,BRL,4.5523
2018-03-31,CAD,1.7702
2018-03-31,DKK,8.4505
2018-03-31,HKD,10.93
2018-03-31,INR,90.5
2018-03-31,ILS,4.8764
2018-03-31,JPY,150.43
2018-03-31,MYR,5.46
2018-03-31,MXN,26.05
2018-03-31,NZD,1.9044
2018-03-31,NOK,10.96
2018-03-31,PHP,72.84
2018-03-31,SAR,5.2424
2018-03-31,SGD,1.8454
2018-03-31,ZAR,16.27
2018-03-31,KRW,1504.16
2018-03-31,SEK,11.31
2018-03-31,CHF,1.3097
2018-03-31,TWD,40.82
2018-03-31,THB,44.02
2018-03-31,USD,1.3979
2018-03-31,EUR,1.1347
2018-03-31,AED,5.1345
2018-03-31,ALL,149.71
2018-03-31,DZD,159.42
2018-03-31,AOA,293.35
2018-03-31,XCD,3.7742
2018-03-31,AMD,671.61
2018-03-31,AWG,2.5022
2018-03-31,AZN,2.3599
2018-03-31,BSD,1.3979
2018-03-31,BHD,0.527
2018-03-31,BDT,116.65
2018-03-31,BBD,2.7957
2018-03-31,BYN,2.7349
2018-03-31,BZD,2.794
2018-03-31,XOF,744.29
2018-03-31,BMD,1.3979
2018-03-31,BTN,90.5
2018-03-31,BOB,9.6592
2018-03-31,BAM,2.2192
2018-03-31,BWP,13.26
2018-03-31,BND,1.8454
2018-03-31,BGN,2.2193
2018-03-31,BIF,2459.59
2018-03-31,KHR,5606.81
2018-03-31,XAF,744.29
2018-03-31,CVE,125.45
2018-03-31,KYD,1.1462
2018-03-31,CLP,831.13
2018-03-31,CNY,8.8682
2018-03-31,COP,4016.74
2018-03-31,KMF,558.22
2018-03-31,CDF,2243.56
2018-03-31,CRC,796.17
2018-03-31,HRK,8.4447
2018-03-31,CUP,1.3979
2018-03-31,CZK,28.74
2018-03-31,DJF,248.42
2018-03-31,DOP,68.71
2018-03-31,ECS,1.3979
2018-03-31,EGP,24.74
2018-03-31,SVC,12.23
2018-03-31,ERN,20.96
2018-03-31,ETB,38.24
2018-03-31,FJD,2.8075
2018-03-31,XPF,135.4
2018-03-31,GMD,66.74
2018-03-31,GEL,3.4429
2018-03-31,GHS,6.2435
2018-03-31,GTQ,10.29
2018-03-31,GNF,12619.17
2018-03-31,GYD,289.3
2018-03-31,HTG,89.92
2018-03-31,HNL,32.94
2018-03-31,HUF,354.47
2018-03-31,ISK,140.57
2018-03-31,IDR,19036.05
2018-03-31,IQD,1655.06
2018-03-31,JMD,175.98
2018-03-31,JOD,0.9911
2018-03-31,KZT,446.57
2018-03-31,KES,141.74
2018-03-31,KWD,0.4192
2018-03-31,KGS,95.21
2018-03-31,LAK,11602.22
2018-03-31,LBP,2115.65
2018-03-31,LSL,16.27
2018-03-31,LRD,1.3979
2018-03-31,LYD,1.8592
2018-03-31,MOP,11.26
2018-03-31,MKD,69.86
2018-03-31,MGA,4389.27
2018-03-31,MWK,1015.08
2018-03-31,MVR,21.59
2018-03-31,MRO,492.95
2018-03-31,MUR,45.77
2018-03-31,MDL,23.28
2018-03-31,MNT,3350.66
2018-03-31,MAD,12.86
2018-03-31,MZN,85.48
2018-03-31,MMK,1860.61
2018-03-31,NPR,144.8
2018-03-31,NIO,43.34
2018-03-31,NGN,503.22
2018-03-31,OMR,0.5382
2018-03-31,PKR,154.51
2018-03-31,PAB,1.3979
2018-03-31,PGK,4.5339
2018-03-31,PYG,7805.8
2018-03-31,PEN,4.5388
2018-03-31,PLN,4.7275
2018-03-31,QAR,5.0896
2018-03-31,RON,5.2881
2018-03-31,RUB,79.09
2018-03-31,RWF,1198.66
2018-03-31,STD,27943.2
2018-03-31,RSD,133.88
2018-03-31,SCR,19.32
2018-03-31,SLL,10770.5
2018-03-31,SBD,10.85
2018-03-31,SOS,814.95
2018-03-31,LKR,216.98
2018-03-31,SDG,25.29
2018-03-31,SRD,10.43
2018-03-31,SZL,16.27
2018-03-31,TZS,3149.37
2018-03-31,TOP,1.782
2018-03-31,TTD,9.4397
2018-03-31,TND,3.3575
2018-03-31,TRY,5.2924
2018-03-31,TMT,4.9065
2018-03-31,UGX,5088.2
2018-03-31,UAH,37.73
2018-03-31,UYU,39.79
2018-03-31,UZS,11438.31
2018-03-31,VUV,149.67
2018-03-31,VEF,34915.01
2018-03-31,VND,31755.91
2018-03-31,WST,3.4558
2018-03-31,YER,349.88
2018-03-31,ZMW,13.73
2018-03-31,ZWL,505.88
2018-05-15,ARS,28.67
2018-05-15,AUD,1.8272
2018-05-15,BRL,4.8142
2018-05-15,CAD,1.7929
2018-05-15,DKK,8.5659
2018-05-15,HKD,11.17
2018-05-15,INR,93.4
2018-05-15,ILS,5.0041
2018-05-15,JPY,152.64
2018-05-15,MYR,5.5365
2018-05-15,MXN,25.6
2018-05-15,NZD,1.9398
2018-05-15,NOK,11.03
2018-05-15,PHP,74.12
2018-05-15,SAR,5.3383
2018-05-15,SGD,1.8646
2018-05-15,ZAR,16.97
2018-05-15,KRW,1521.09
2018-05-15,SEK,11.94
2018-05-15,CHF,1.3767
