Date,Action,Symbol,Description,Price,Quantity,Fees & Comm,Amount
02/10/2026,Sell,PFE,PFIZER INC,$25.00,100,$1.00,$2499.00
09/25/2025,Buy,KO,COCA-COLA CO,$67.00,40,$1.00,-$2681.00
09/10/2025,Sell,KO,COCA-COLA CO,$65.00,100,$1.00,$6499.00
08/29/2025,NRA Tax Adj,,SCHWAB1 INT 08/01-08/28,,,,-$12.00
08/29/2025,Credit Interest,,SCHWAB1 INT 08/01-08/28,,,,$40.00
06/30/2025,Foreign Tax Paid,KO,COCA-COLA CO CASH DIVIDEND,,,,-$7.65
06/30/2025,Qualified Dividend,KO,COCA-COLA CO CASH DIVIDEND,,,,$51.00
06/17/2025,Buy,MSFT,MICROSOFT CORP,$478.00,20,$1.00,-$9561.00
06/17/2025,Sell,MSFT,MICROSOFT CORP,$480.00,120,$1.00,$57599.00
08/01/2024,Buy,PFE,PFIZER INC,$35.00,100,$1.00,-$3501.00
08/01/2024,Buy,KO,COCA-COLA CO,$62.00,100,$1.00,-$6201.00
03/04/2024,Buy,MSFT,MICROSOFT CORP,$390.00,150,$1.00,-$58501.00
03/01/2024,MoneyLink Transfer,,Tfr BANK,,,,$75000.00
